Biomark Device Manager Version 1.2.19
Export All Records To File
Export Date/Time: 3/22/2024 3:34:32 PM

Scan Date   Scan Time     Download Date  Download Time  Reader ID  Antenna ID  HEX Tag ID      DEC Tag ID        Temperature,C  Signal,mV  Is Duplicate  Latitude  Longitude  File Name  
----------  ------------  -------------  -------------  ---------  ----------  --------------  ----------------  -------------  ---------  ------------  --------  ---------  ---------  
10/23/2023  15:35:50.790  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:50.850  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:50.910  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:50.970  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.040  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.100  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.160  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.220  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.270  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.330  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.370  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.400  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.460  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.490  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.520  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.570  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.610  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.640  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.670  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.700  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.730  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.760  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.790  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.820  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.850  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.880  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.920  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:51.940  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.000  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.030  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.060  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.090  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.130  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.160  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.220  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.280  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.340  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.400  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.470  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.530  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.590  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.650  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.720  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.790  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.840  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.870  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.900  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.930  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.960  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:52.990  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.020  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.050  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.100  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.130  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.160  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.190  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.220  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
